Time;RayOriginX;RayOriginY;RayOriginZ;HitPointX;HitPointY;HitPointZ;ObjectHit
3,503725;0,04995244;1,175051;0,216815;-2,068752;0,801755;3,482738;EyeInteractableSphere
3,518815;0,04907087;1,174594;0,2168646;-2,10024;0,7829648;3,498687;EyeInteractableSphere
3,532526;0,04824931;1,174272;0,216864;-2,140046;0,780457;3,527438;EyeInteractableSphere
3,557575;0,04796829;1,174223;0,2169231;-2,745339;0,6601172;4,377659;EyeInteractableSphere
3,597631;0,04680105;1,174113;0,2170674;-2,803527;0,638296;4,389818;EyeInteractableSphere
4,357956;0,004828345;1,175538;0,2105099;-2,808688;1,641013;2,336888;EyeInteractableSphere
4,387137;0,005456235;1,175552;0,2109773;-2,840431;1,52163;1,970293;EyeInteractableSphere
4,418243;0,006114857;1,175756;0,2112447;-2,827801;1,496029;1,986361;EyeInteractableSphere
4,447643;0,007395595;1,175296;0,2110138;-2,78642;1,481354;2,113416;EyeInteractableSphere
4,475634;0,01480422;1,173877;0,2139492;-2,755914;1,448237;2,328985;EyeInteractableSphere
4,503893;0,02067741;1,173507;0,2158947;-2,815284;1,440264;2,671317;EyeInteractableSphere
4,724078;0,09051393;1,161745;0,2125377;1,509387;0,61;2,383073;EyeInteractable
5,167222;0,1288204;1,157462;0,1940826;1,195108;0,5494017;2,540872;EyeInteractable
5,179082;0,1292346;1,157455;0,1939298;1,192388;0,5487845;2,537245;EyeInteractable
5,191905;0,1295036;1,157391;0,1939406;1,182576;0,5516088;2,524161;EyeInteractable
5,221265;0,1299586;1,15713;0,1935757;1,366377;0,5326058;2,311369;EyeInteractable
5,244376;0,1304462;1,156929;0,1932403;1,371729;0,5252266;2,307355;EyeInteractable
5,274073;0,1302114;1,157133;0,1935354;1,363247;0,5153452;2,313716;EyeInteractable
5,302565;0,1302418;1,157126;0,1937317;1,353475;0,5163035;2,321044;EyeInteractable
5,327927;0,1303989;1,157113;0,193972;1,348246;0,5116188;2,324966;EyeInteractable
5,352912;0,130591;1,156489;0,194159;1,340218;0,5102826;2,330986;EyeInteractable
