Timestamp;BrowLowererL;BrowLowererR;CheekPuffL;CheekPuffR;CheekRaiserL;CheekRaiserR;CheekSuckL;CheekSuckR;ChinRaiserB;ChinRaiserT;DimplerL;DimplerR;EyesClosedL;EyesClosedR;EyesLookDownL;EyesLookDownR;EyesLookLeftL;EyesLookLeftR;EyesLookRightL;EyesLookRightR;EyesLookUpL;EyesLookUpR;InnerBrowRaiserL;InnerBrowRaiserR;JawDrop;JawSidewaysLeft;JawSidewaysRight;JawThrust;LidTightenerL;LidTightenerR;LipCornerDepressorL;LipCornerDepressorR;LipCornerPullerL;LipCornerPullerR;LipFunnelerLB;LipFunnelerLT;LipFunnelerRB;LipFunnelerRT;LipPressorL;LipPressorR;LipPuckerL;LipPuckerR;LipStretcherL;LipStretcherR;LipSuckLB;LipSuckLT;LipSuckRB;LipSuckRT;LipTightenerL;LipTightenerR;LipsToward;LowerLipDepressorL;LowerLipDepressorR;MouthLeft;MouthRight;NoseWrinklerL;NoseWrinklerR;OuterBrowRaiserL;OuterBrowRaiserR;UpperLidRaiserL;UpperLidRaiserR;UpperLipRaiserL;UpperLipRaiserR;TongueTipInterdental;TongueTipAlveolar;TongueFrontDorsalPalate;TongueMidDorsalPalate;TongueBackDorsalVelar;TongueOut;TongueRetreat
0,9048516;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3379;0,6122;0,2445;0,1065;0,0002;0,0865;0,0000;0,0000;0,0000;0,0000;0,0021;0,0173;0,0000;0,0000;0,0000;0,0000;0,0363;0,0003;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0212;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
0,9262678;0,0000;0,0000;0,0017;0,0017;0,0151;0,0081;0,0000;0,0000;0,0045;0,0049;0,0000;0,0000;0,3833;0,5939;0,2155;0,1067;0,0012;0,0875;0,0000;0,0000;0,0000;0,0000;0,0022;0,0173;0,0297;0,0033;0,0038;0,0017;0,0256;0,0025;0,0105;0,0091;0,0006;0,0000;0,0000;0,0103;0,0000;0,0115;0,0000;0,0000;0,0150;0,0171;0,0000;0,0000;0,0017;0,0019;0,0007;0,0018;0,0056;0,0042;0,0188;0,0000;0,0000;0,0017;0,0014;0,0016;0,0012;0,0000;0,0198;0,0000;0,0000;0,0003;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,101052;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2903;0,5436;0,2309;0,1139;0,0004;0,0867;0,0000;0,0000;0,0000;0,0000;0,0022;0,0172;0,0000;0,0000;0,0000;0,0000;0,0007;0,0018;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0221;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,276976;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3071;0,6297;0,2409;0,0922;0,0054;0,0917;0,0000;0,0000;0,0000;0,0000;0,0016;0,0144;0,0000;0,0000;0,0000;0,0000;0,0102;0,0064;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0214;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,610309;0,0000;0,0000;0,0017;0,0017;0,0163;0,0072;0,0000;0,0000;0,0042;0,0033;0,0000;0,0000;0,4281;0,6370;0,1994;0,0922;0,0000;0,0800;0,0063;0,0000;0,0000;0,0000;0,0049;0,0240;0,0293;0,0021;0,0033;0,0017;0,0183;0,0069;0,0109;0,0087;0,0017;0,0000;0,0000;0,0112;0,0000;0,0115;0,0000;0,0000;0,0175;0,0175;0,0000;0,0000;0,0017;0,0036;0,0017;0,0017;0,0053;0,0044;0,0190;0,0000;0,0000;0,0017;0,0011;0,0021;0,0014;0,0000;0,0269;0,0000;0,0000;0,0006;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,787818;0,0000;0,0000;0,0034;0,0034;0,0262;0,0141;0,0000;0,0000;0,0091;0,0090;0,0000;0,0000;0,3679;0,6075;0,2315;0,1071;0,0000;0,0719;0,0144;0,0000;0,0000;0,0000;0,0056;0,0266;0,0635;0,0035;0,0078;0,0034;0,0441;0,0005;0,0152;0,0183;0,0030;0,0000;0,0000;0,0211;0,0000;0,0218;0,0000;0,0000;0,0335;0,0331;0,0000;0,0000;0,0031;0,0032;0,0034;0,0034;0,0114;0,0076;0,0393;0,0000;0,0000;0,0034;0,0018;0,0023;0,0025;0,0000;0,0274;0,0000;0,0000;0,0023;0,0002;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,864284;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4346;0,5513;0,1891;0,1255;0,0000;0,0854;0,0009;0,0000;0,0000;0,0000;0,0072;0,0285;0,0000;0,0000;0,0000;0,0000;0,0242;0,0106;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0248;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
1,94866;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3795;0,5976;0,2117;0,1015;0,0083;0,0946;0,0000;0,0000;0,0000;0,0000;0,0052;0,0270;0,0000;0,0000;0,0000;0,0000;0,0427;0,0023;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0237;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
2,081215;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3565;0,5310;0,2196;0,1288;0,0053;0,0916;0,0000;0,0000;0,0000;0,0000;0,0082;0,0287;0,0000;0,0000;0,0000;0,0000;0,0487;0,0108;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0209;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
2,336569;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3323;0,6220;0,2543;0,1080;0,0000;0,0646;0,0218;0,0000;0,0000;0,0000;0,0052;0,0258;0,0000;0,0000;0,0000;0,0000;0,0384;0,0009;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0230;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
